iter	Passed	Remaining
0	57	57439
1	57	28802
2	57	19254
3	58	14481
4	58	11617
5	58	9708
6	58	8345
7	59	7323
8	59	6526
9	59	5889
10	59	5368
11	59	4934
12	60	4567
13	60	4253
14	60	3979
15	60	3741
16	61	3529
17	61	3342
18	61	3174
19	61	3022
20	61	2886
21	62	2766
22	62	2653
23	62	2549
24	62	2453
25	63	2365
26	63	2283
27	63	2207
28	63	2136
29	64	2073
30	64	2011
31	64	1954
32	64	1900
33	65	1849
34	65	1800
35	65	1754
36	65	1710
37	65	1669
38	66	1630
39	66	1592
40	66	1557
41	66	1523
42	67	1491
43	67	1460
44	67	1430
45	67	1402
46	67	1375
47	68	1350
48	68	1325
49	68	1301
50	68	1279
51	68	1257
52	69	1236
53	69	1216
54	69	1196
55	69	1177
56	70	1159
57	70	1141
58	70	1123
59	70	1106
60	70	1090
61	71	1075
62	71	1060
63	71	1045
64	71	1031
65	71	1017
66	72	1004
67	72	991
68	72	978
69	72	966
70	72	954
71	73	942
72	73	931
73	73	920
74	73	909
75	73	898
76	74	888
77	74	878
78	74	868
79	74	859
80	74	850
81	75	841
82	75	831
83	75	822
84	75	813
85	75	805
86	76	797
87	76	789
88	76	782
89	76	774
90	76	767
91	77	760
92	77	753
93	77	746
94	77	739
95	77	732
96	77	726
97	78	719
98	78	713
99	78	707
100	78	701
101	79	695
102	79	689
103	79	684
104	79	678
105	79	673
106	80	667
107	80	662
108	80	657
109	80	652
110	80	647
111	81	642
112	81	637
113	81	633
114	81	628
115	81	623
116	81	618
117	82	614
118	82	609
119	82	605
120	82	601
121	82	596
122	83	592
123	83	588
124	83	584
125	83	580
126	83	576
127	84	572
128	84	568
129	84	564
130	84	561
131	84	557
132	84	553
133	85	550
134	85	546
135	85	543
136	85	540
137	85	536
138	86	533
139	86	530
140	86	527
141	86	523
142	86	520
143	87	517
144	87	514
145	87	511
146	87	508
147	87	505
148	87	502
149	88	499
150	88	496
151	88	494
152	88	491
153	88	488
154	89	485
155	89	483
156	89	480
157	89	477
158	89	475
159	90	472
160	90	469
161	90	467
162	90	465
163	90	463
164	91	461
165	91	458
166	91	456
167	91	454
168	91	451
169	92	449
170	92	447
171	92	445
172	92	443
173	92	441
174	93	439
175	93	436
176	93	434
177	93	432
178	93	430
179	94	428
180	94	426
181	94	424
182	94	422
183	94	420
184	95	418
185	95	416
186	95	414
187	95	413
188	95	411
189	96	409
190	96	407
191	96	405
192	96	404
193	96	402
194	97	400
195	97	398
196	97	397
197	97	395
198	97	393
199	98	392
200	98	390
201	98	388
202	98	387
203	98	385
204	98	383
205	99	382
206	99	380
207	99	379
208	99	377
209	99	376
210	100	374
211	100	372
212	100	371
213	100	370
214	100	368
215	101	367
216	101	365
217	101	364
218	101	362
219	101	361
220	102	359
221	102	358
222	102	357
223	102	355
224	102	354
225	103	353
226	103	351
227	103	350
228	103	349
229	103	347
230	104	346
231	104	345
232	104	344
233	104	342
234	104	341
235	105	340
236	105	339
237	105	337
238	105	336
239	105	335
240	106	334
241	106	333
242	106	331
243	106	330
244	106	329
245	107	328
246	107	327
247	107	326
248	107	324
249	107	323
250	108	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	317
256	109	316
257	109	314
258	109	313
259	109	312
260	110	311
261	110	310
262	110	309
263	110	308
264	110	307
265	111	306
266	111	305
267	111	304
268	111	303
269	111	302
270	112	301
271	112	300
272	112	299
273	112	298
274	112	297
275	113	296
276	113	295
277	113	294
278	113	293
279	113	292
280	114	291
281	114	290
282	114	289
283	114	288
284	114	288
285	115	287
286	115	286
287	115	285
288	115	284
289	115	283
290	115	282
291	116	281
292	116	280
293	116	279
294	116	278
295	116	278
296	117	277
297	117	276
298	117	275
299	117	274
300	117	273
301	118	272
302	118	272
303	118	271
304	118	270
305	118	269
306	119	268
307	119	267
308	119	267
309	119	266
310	119	265
311	119	264
312	120	263
313	120	262
314	120	262
315	120	261
316	120	260
317	121	259
318	121	258
319	121	258
320	121	257
321	121	256
322	122	255
323	122	255
324	122	254
325	122	253
326	122	252
327	123	252
328	123	251
329	123	250
330	123	249
331	123	249
332	124	248
333	124	247
334	124	246
335	124	246
336	124	245
337	124	244
338	125	244
339	125	243
340	125	242
341	125	242
342	126	241
343	126	240
344	126	239
345	126	239
346	126	238
347	126	237
348	127	237
349	127	236
350	127	235
351	127	235
352	127	234
353	128	233
354	128	233
355	128	232
356	128	231
357	128	231
358	129	230
359	129	229
360	129	229
361	129	228
362	129	227
363	130	227
364	130	226
365	130	225
366	130	225
367	130	224
368	130	223
369	131	223
370	131	222
371	131	221
372	131	221
373	131	220
374	131	219
375	132	219
376	132	218
377	132	217
378	132	217
379	132	216
380	132	215
381	133	215
382	133	214
383	133	214
384	133	213
385	133	212
386	133	212
387	134	211
388	134	210
389	134	210
390	134	209
391	134	209
392	134	208
393	135	207
394	135	207
395	135	206
396	135	206
397	135	205
398	136	204
399	136	204
400	136	203
401	136	203
402	136	202
403	137	202
404	137	201
405	137	201
406	137	200
407	137	199
408	137	199
409	138	198
410	138	198
411	138	197
412	138	197
413	138	196
414	139	195
415	139	195
416	139	194
417	139	194
418	139	193
419	140	193
420	140	192
421	140	192
422	140	191
423	140	191
424	141	190
425	141	190
426	141	189
427	141	189
428	141	188
429	141	188
430	142	187
431	142	187
432	142	186
433	142	186
434	142	185
435	143	185
436	143	184
437	143	184
438	143	183
439	143	183
440	143	182
441	144	182
442	144	181
443	144	181
444	144	180
445	145	180
446	145	179
447	145	179
448	145	178
449	145	178
450	146	177
451	146	177
452	146	176
453	146	176
454	146	175
455	146	175
456	147	174
457	147	174
458	147	173
459	147	173
460	147	172
461	148	172
462	148	171
463	148	171
464	148	171
465	148	170
466	148	170
467	149	169
468	149	169
469	149	168
470	149	168
471	149	167
472	150	167
473	150	166
474	150	166
475	150	165
476	150	165
477	150	164
478	151	164
479	151	163
480	151	163
481	151	163
482	151	162
483	152	162
484	152	161
485	152	161
486	152	160
487	152	160
488	152	159
489	153	159
490	153	158
491	153	158
492	153	158
493	153	157
494	154	157
495	154	156
496	154	156
497	154	155
498	154	155
499	154	154
500	155	154
501	155	154
502	155	153
503	155	153
504	155	152
505	156	152
506	156	151
507	156	151
508	156	151
509	156	150
510	156	150
511	157	149
512	157	149
513	157	148
514	157	148
515	157	148
516	158	147
517	158	147
518	158	146
519	158	146
520	158	145
521	158	145
522	159	145
